image_path,image_basename,width,height,ratio,face_count,face_top_pct,headroom_pct,focus_y_pct,crop_safe
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\airlyte\wrap-longsleeve\02.png,02.png,980,1414,0.6931,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\airlyte\wrap-longsleeve\03.png,03.png,320,1192,0.2685,1,6.63,6.63,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\adira_crop\01.png,01.png,1680,2147,0.7825,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\adira_crop\02.png,02.png,512,1840,0.2783,1,5.49,5.49,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\adira_crop\03.png,03.png,1160,1282,0.9048,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\adira_crop\04.png,04.png,1160,1290,0.8992,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\flex_crop\01.png,01.png,669,1164,0.5747,1,10.29,10.29,14.4,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\flex_crop\02.png,02.png,1680,2147,0.7825,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\flex_crop\03.png,03.png,1216,1282,0.9485,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\flex_crop\04.png,04.png,1200,1282,0.936,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\strappy_crop\01.png,01.png,486,660,0.7364,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\strappy_crop\02.png,02.png,880,2160,0.4074,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\strappy_crop\03.png,03.png,648,1776,0.3649,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\strappy_crop\04.png,04.png,728,1832,0.3974,1,7.3,7.3,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\venus_skirt\02.png,02.png,912,2489,0.3664,1,5.03,5.03,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\venus_skirt\03.png,03.png,648,2201,0.2944,1,5.62,5.62,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\venus_skirt\04.png,04.png,808,2233,0.3618,1,4.95,4.95,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\venus_skirt\05.png,05.png,640,2241,0.2856,1,6.29,6.29,8.0,1.0
