image_path,image_basename,width,height,ratio,face_count,face_top_pct,headroom_pct,focus_y_pct,crop_safe
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\booty_shorts\03.png,03.png,750,957,0.7837,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\booty_shorts\04.png,04.png,456,942,0.4841,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\booty_shorts\05.png,05.png,372,927,0.4013,1,3.72,3.72,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\flared_leggings\01.png,01.png,265,607,0.4366,1,5.24,5.24,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\flared_leggings\02.png,02.png,269,611,0.4403,1,4.76,4.76,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\01.png,01.png,884,1163,0.7601,1,7.74,7.74,8.5,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\02.png,02.png,678,918,0.7386,1,6.87,6.87,8.5,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\03.png,03.png,375,894,0.4195,1,6.55,6.55,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\04.png,04.png,657,933,0.7042,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\05.png,05.png,750,957,0.7837,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\powerreact_training-medium_support-sports_bra\01.png,01.png,600,600,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\powerreact_training-medium_support-sports_bra\02.png,02.png,435,928,0.4688,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\powerreact_training-medium_support-sports_bra\03.png,03.png,621,928,0.6692,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\powerreact_training-medium_support-sports_bra\04.png,04.png,642,783,0.8199,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\tights\01.png,01.png,1200,2250,0.5333,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\tights\02.png,02.png,1648,2026,0.8134,1,8.83,8.83,8.7,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\tube_top\01.png,01.png,348,813,0.428,1,9.22,9.22,10.7,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\tube_top\02.png,02.png,824,1922,0.4287,1,9.36,9.36,9.1,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\tube_top\03.png,03.png,572,1868,0.3062,1,5.77,5.77,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\adidas\women\3-stripes\tube_top\04.png,04.png,348,313,1.1118,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\banners\men\01-cross-country-running.jpg,01-cross-country-running.jpg,1640,600,2.7333,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\shorts\01.png,01.png,552,1215,0.4543,1,7.2,7.2,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\shorts\02.png,02.png,522,882,0.5918,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\shorts\03.png,03.png,342,903,0.3787,1,5.34,5.34,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\shorts\04.png,04.png,750,957,0.7837,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\shorts\05.png,05.png,441,894,0.4933,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\Zip-Track_Top\01.png,01.png,592,1191,0.4971,1,11.97,11.97,12.7,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\Zip-Track_Top\02.png,02.png,414,939,0.4409,1,8.22,8.22,10.6,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\Zip-Track_Top\03.png,03.png,321,888,0.3615,2,5.88,5.88,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\Zip-Track_Top\04.png,04.png,489,900,0.5433,1,12.07,12.07,15.5,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\men\gel_training\Zip-Track_Top\05.png,05.png,456,930,0.4903,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\unisex\running_shoes\kayano_26.png,kayano_26.png,500,500,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\asics\unisex\soccer_boots\gel_lethal_tigreor_8_IT.png,gel_lethal_tigreor_8_IT.png,500,500,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\asos\4504-curve\sports_bra\high_support\zip-front-adjustable-straps\01.png,01.png,401,655,0.6122,1,6.81,6.81,9.3,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\asos\4504-curve\sports_bra\high_support\zip-front-adjustable-straps\02.png,02.png,513,655,0.7832,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\asos\4504-curve\sports_bra\high_support\zip-front-adjustable-straps\03.png,03.png,255,619,0.412,1,5.43,5.43,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\shorts\01.png,01.png,580,1231,0.4712,1,6.8,6.8,8.8,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\shorts\02.png,02.png,447,924,0.4838,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\shorts\03.png,03.png,621,930,0.6677,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\shorts\04.png,04.png,729,957,0.7618,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\shorts\05.png,05.png,750,957,0.7837,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\shorts\06.png,06.png,411,930,0.4419,1,6.18,6.18,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\sports_bra\01.png,01.png,656,1235,0.5312,1,5.45,5.45,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\sports_bra\02.png,02.png,402,939,0.4281,1,8.97,8.97,9.5,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\sports_bra\03.png,03.png,432,936,0.4615,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\sports_bra\04.png,04.png,750,915,0.8197,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\sports_bra\05.png,05.png,750,957,0.7837,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\aybl\adapt_seamless\sports_bra\06.png,06.png,498,894,0.557,1,24.47,24.47,23.1,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\designer\kate_galliano\bodysuit\bubblegum\01.png,01.png,1189,2048,0.5806,1,8.47,8.47,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\designer\kate_galliano\bodysuit\bubblegum\02.png,02.png,1249,1970,0.634,1,10.5,10.5,16.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\designer\lisa_trujillo\kids\01-activewear.jpg,01-activewear.jpg,1440,1341,1.0738,6,11.8,11.8,10.9,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\designer\lisa_trujillo\kids\banner\01.png,01.png,1500,592,2.5338,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\designer\lisa_trujillo\kids\banner\02.png,02.png,1500,593,2.5295,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\designer\lisa_trujillo\kids\banner\03.png,03.png,1500,591,2.5381,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\banner-joyride.png,banner-joyride.png,1920,900,2.1333,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\kids\girls\futura\air\pink_and_white\01.png,01.png,363,738,0.4919,1,8.18,8.18,9.6,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\kids\girls\futura\air\pink_and_white\02.png,02.png,679,700,0.97,1,10.05,10.05,19.5,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\other\600ml_waterbottle.png,600ml_waterbottle.png,172,484,0.3554,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\running\swift_uv-12_zip_top\01.png,01.png,576,891,0.6465,1,10.89,10.89,11.4,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\running\swift_uv-12_zip_top\02.png,02.png,723,957,0.7555,1,9.65,9.65,11.4,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\running\swift_uv-12_zip_top\03.png,03.png,750,957,0.7837,1,17.34,17.34,25.9,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\running\swift_uv-12_zip_top\04.png,04.png,507,945,0.5365,1,10.94,10.94,10.8,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\running\swift_uv-12_zip_top\05.png,05.png,750,957,0.7837,1,68.11,68.11,35.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\running\swift_uv-12_zip_top\06.png,06.png,489,909,0.538,1,7.27,7.27,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\running\swift_uv-12_zip_top\07.png,07.png,750,957,0.7837,1,75.53,75.53,35.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\swoosh\sports_bra\medium-support-padded\01.png,01.png,1584,2160,0.7333,1,0.0,0.0,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\swoosh\sports_bra\medium-support-padded\02.png,02.png,1728,2160,0.8,1,1.74,1.74,11.9,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\swoosh\sports_bra\medium-support-padded\03.png,03.png,1728,2160,0.8,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\swoosh\sports_bra\medium-support-padded\04.png,04.png,520,1912,0.272,1,6.58,6.58,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\swoosh\sports_bra\medium-support-padded\05.png,05.png,584,1896,0.308,1,6.48,6.48,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\full-zip_top Tracksuit\01.png,01.png,820,1151,0.7124,1,5.69,5.69,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\full-zip_top Tracksuit\02.png,02.png,534,957,0.558,1,10.7,10.7,14.7,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\full-zip_top Tracksuit\03.png,03.png,711,957,0.7429,1,10.82,10.82,18.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\full-zip_top Tracksuit\04.png,04.png,480,957,0.5016,1,6.9,6.9,8.8,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\full-zip_top Tracksuit\05.png,05.png,513,945,0.5429,1,8.67,8.67,9.9,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\full-zip_top Tracksuit\06.png,06.png,339,909,0.3729,1,6.37,6.37,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\pro_mesh-3inch_shorts\01.png,01.png,984,1255,0.7841,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\pro_mesh-3inch_shorts\02.png,02.png,483,897,0.5385,1,5.75,5.75,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\pro_mesh-3inch_shorts\03.png,03.png,582,939,0.6198,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\pro_mesh-3inch_shorts\04.png,04.png,450,921,0.4886,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\training\pro_mesh-3inch_shorts\05.png,05.png,750,957,0.7837,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\zenvy\leggings-high-waisted-flared\01.png,01.png,696,1992,0.3494,1,5.56,5.56,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\zenvy\leggings-high-waisted-flared\02.png,02.png,624,2000,0.312,1,6.52,6.52,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\zenvy\leggings-high-waisted-flared\03.png,03.png,1728,2160,0.8,1,0.53,0.53,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\zenvy\leggings-high-waisted-flared\04.png,04.png,1728,2160,0.8,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\zenvy\leggings-high_waisted-full_length\01.png,01.png,800,2096,0.3817,1,4.64,4.64,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\nike\women\zenvy\leggings-high_waisted-full_length\02.png,02.png,1592,2160,0.737,1,9.89,9.89,9.8,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\other\protec-skate_helmet.png,protec-skate_helmet.png,900,900,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\other\sting-armaplus-boxing_gloves-T3.png,sting-armaplus-boxing_gloves-T3.png,600,591,1.0152,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\pangaia\stretch-compressive-volcanic_grey\leggings\01.png,01.png,348,993,0.3505,1,4.41,4.41,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\pangaia\stretch-compressive-volcanic_grey\leggings\02.png,02.png,261,1011,0.2582,1,5.71,5.71,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\pangaia\stretch-compressive-volcanic_grey\leggings\03.png,03.png,639,1023,0.6246,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\pangaia\stretch-compressive-volcanic_grey\leggings\04.png,04.png,588,1023,0.5748,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\pangaia\stretch-compressive-volcanic_grey\sports_bra\01.png,01.png,1500,2000,0.75,1,1.31,1.31,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\pangaia\stretch-compressive-volcanic_grey\sports_bra\02.png,02.png,780,1952,0.3996,1,7.91,7.91,8.6,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\pangaia\stretch-compressive-volcanic_grey\sports_bra\03.png,03.png,768,1964,0.391,1,10.18,10.18,11.8,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\pangaia\stretch-compressive-volcanic_grey\sports_bra\04.png,04.png,624,812,0.7685,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\puma\banner-1.png,banner-1.png,4480,1920,2.3333,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\puma\unisex\training_shoes\rs-x³_spectra\01.png,01.png,2000,977,2.0471,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\puma\unisex\training_shoes\rs-x³_spectra\02.png,02.png,781,586,1.3328,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\reebok\banner-1.png,banner-1.png,4996,1249,4.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\reebok\unisex\training_shoes\nano_x3\black_court_brown.png,black_court_brown.png,862,343,2.5131,0,,,,
