itemId	images	thumbnails_json	chosen_image	itemName
30		images/brands/pangaia/stretch-compressive-sports_bra-volcanic_grey/01.png;images/brands/pangaia/stretch-compressive-sports_bra-volcanic_grey/02.png;images/brands/pangaia/stretch-compressive-sports_bra-volcanic_grey/03.png;images/brands/pangaia/stretch-compressive-sports_bra-volcanic_grey/04.png	images/brands/pangaia/stretch-compressive-sports_bra-volcanic_grey/03.png	MotionFlex Seamless Sports Bra
31		images/brands/puma/unisex/training_shoes/rs-xⁿ_spectra/01.png;images/brands/puma/unisex/training_shoes/rs-xⁿ_spectra/02.png	images/brands/puma/unisex/training_shoes/rs-xⁿ_spectra/01.png	RS-Xⁿ Spectra
32		images/brands/reebok/unisex/training_shoes/nano_X3/black_court_brown.png;images/brands/reebok/unisex/training_shoes/nano_X3/core_black-neon_cherry.png;images/brands/reebok/unisex/training_shoes/nano_X3/pure_white.png	images/brands/reebok/unisex/training_shoes/nano_X3/pure_white.png	Nano X3
33		images/brands/stax/women/airlyte/wrap-longsleeve/01.png;images/brands/stax/women/airlyte/wrap-longsleeve/02.png;images/brands/stax/women/airlyte/wrap-longsleeve/03.png	images/brands/stax/women/airlyte/wrap-longsleeve/03.png	Airlyte: Wrap Longsleeve
34		images/brands/stax/women/airlyte/active_zip_Jacket/01.png;images/brands/stax/women/airlyte/active_zip_Jacket/02.png;images/brands/stax/women/airlyte/active_zip_Jacket/03.png;images/brands/stax/women/airlyte/active_zip_Jacket/04.png;images/brands/stax/women/airlyte/active_zip_Jacket/05.png;images/brands/stax/women/airlyte/active_zip_Jacket/06.png;images/brands/stax/women/airlyte/active_zip_Jacket/07.png	images/brands/stax/women/airlyte/active_zip_Jacket/03.png	Airlyte: Active Zipper Jacket
35		images/brands/stax/women/airlyte/backless_playsuit/01.png;images/brands/stax/women/airlyte/backless_playsuit/02.png;images/brands/stax/women/airlyte/backless_playsuit/03.png;images/brands/stax/women/airlyte/backless_playsuit/04.png;images/brands/stax/women/airlyte/backless_playsuit/05.png;images/brands/stax/women/airlyte/backless_playsuit/06.png;images/brands/stax/women/airlyte/backless_playsuit/07.png	images/brands/stax/women/airlyte/backless_playsuit/03.png	AirLyte: Backless Playsuit
36		images/brands/stax/women/airlyte/full-length_tights/01.png;images/brands/stax/women/airlyte/full-length_tights/02.png	images/brands/stax/women/airlyte/full-length_tights/01.png	AirLyte: Full-Length Tights
37		images/brands/stax/women/airlyte/mini_biker_shorts/01.png;images/brands/stax/women/airlyte/mini_biker_shorts/02.png	images/brands/stax/women/airlyte/mini_biker_shorts/01.png	AirLyte: Mini Biker Shorts
38		images/brands/stax/women/airlyte/ruched_tank/01.png;images/brands/stax/women/airlyte/ruched_tank/02.png;images/brands/stax/women/airlyte/ruched_tank/03.png;images/brands/stax/women/airlyte/ruched_tank/04.png;images/brands/stax/women/airlyte/ruched_tank/05.png;images/brands/stax/women/airlyte/ruched_tank/06.png;images/brands/stax/women/airlyte/ruched_tank/07.png;images/brands/stax/women/airlyte/ruched_tank/08.png;images/brands/stax/women/airlyte/ruched_tank/09.png;images/brands/stax/women/airlyte/ruched_tank/10.png;images/brands/stax/women/airlyte/ruched_tank/11.png;images/brands/stax/women/airlyte/ruched_tank/12.png	images/brands/stax/women/airlyte/ruched_tank/03.png	AirLyte: Ruched Tank
39		images/brands/stax/women/nandex/venus_skirt/02.png;images/brands/stax/women/nandex/venus_skirt/03.png;images/brands/stax/women/nandex/venus_skirt/04.png;images/brands/stax/women/nandex/venus_skirt/05.png;images/brands/stax/women/nandex/venus_skirt/06.png;images/brands/stax/women/nandex/venus_skirt/07.png;images/brands/stax/women/nandex/venus_skirt/08.png	images/brands/stax/women/nandex/venus_skirt/03.png	Nandex: Venus Skirt
40		images/brands/stax/women/nandex/flex_crop/01.png;images/brands/stax/women/nandex/flex_crop/02.png;images/brands/stax/women/nandex/flex_crop/03.png;images/brands/stax/women/nandex/flex_crop/04.png	images/brands/stax/women/nandex/flex_crop/03.png	Nandex: Flex Crop
41		images/brands/stax/women/nandex/adira_crop/01.png;images/brands/stax/women/nandex/adira_crop/02.png;images/brands/stax/women/nandex/adira_crop/03.png;images/brands/stax/women/nandex/adira_crop/04.png	images/brands/stax/women/nandex/adira_crop/03.png	Nandex: Adira Crop
42		images/brands/stax/women/nandex/strappy_crop/01.png;images/brands/stax/women/nandex/strappy_crop/02.png;images/brands/stax/women/nandex/strappy_crop/03.png;images/brands/stax/women/nandex/strappy_crop/04.png	images/brands/stax/women/nandex/strappy_crop/03.png	Nandex: Strappy Crop
43		images/brands/stax/women/nandex/v_front-crop/01.png;images/brands/stax/women/nandex/v_front-crop/02.png;images/brands/stax/women/nandex/v_front-crop/03.png;images/brands/stax/women/nandex/v_front-crop/04.png;images/brands/stax/women/nandex/v_front-crop/05.png;images/brands/stax/women/nandex/v_front-crop/06.png	images/brands/stax/women/nandex/v_front-crop/03.png	Nandex: V-Front Crop
44		images/brands/stax/women/second_left_seamless_campaign/biker_shorts/01.png;images/brands/stax/women/second_left_seamless_campaign/biker_shorts/02.png;images/brands/stax/women/second_left_seamless_campaign/biker_shorts/03.png;images/brands/stax/women/second_left_seamless_campaign/biker_shorts/04.png;images/brands/stax/women/second_left_seamless_campaign/biker_shorts/05.png;images/brands/stax/women/second_left_seamless_campaign/biker_shorts/06.mp4	images/brands/stax/women/second_left_seamless_campaign/biker_shorts/03.png	Second Left Seamless: Mini Biker Shorts
45		images/brands/stax/women/second_left_seamless_campaign/bralette/01.png;images/brands/stax/women/second_left_seamless_campaign/bralette/02.png;images/brands/stax/women/second_left_seamless_campaign/bralette/03.png;images/brands/stax/women/second_left_seamless_campaign/bralette/04.png	images/brands/stax/women/second_left_seamless_campaign/bralette/03.png	Second Left Seamless: Bralette
46		images/brands/stax/women/second_left_seamless_campaign/scoop_long_sleeve/01.png;images/brands/stax/women/second_left_seamless_campaign/scoop_long_sleeve/02.png;images/brands/stax/women/second_left_seamless_campaign/scoop_long_sleeve/03.png;images/brands/stax/women/second_left_seamless_campaign/scoop_long_sleeve/04.png;images/brands/stax/women/second_left_seamless_campaign/scoop_long_sleeve/05.png;images/brands/stax/women/second_left_seamless_campaign/scoop_long_sleeve/06.mp4	images/brands/stax/women/second_left_seamless_campaign/scoop_long_sleeve/03.png	Second Left Seamless: Long Sleeve Scoop Crop-Top
47		images/brands/underarmour/men/poly_tracksuit/01.png;images/brands/underarmour/men/poly_tracksuit/02.png;images/brands/underarmour/men/poly_tracksuit/03.png;images/brands/underarmour/men/poly_tracksuit/04.png;images/brands/underarmour/men/poly_tracksuit/05.png	images/brands/underarmour/men/poly_tracksuit/03.png	Poly Tracksuit
48		images/brands/underarmour/men/ua_storm_vanish_track_pants/01.png;images/brands/underarmour/men/ua_storm_vanish_track_pants/01.png;images/brands/underarmour/men/ua_storm_vanish_track_pants/01.png;images/brands/underarmour/men/ua_storm_vanish_track_pants/01.png;images/brands/underarmour/men/ua_storm_vanish_track_pants/01.png	images/brands/underarmour/men/ua_storm_vanish_track_pants/01.png	Storm Vanish Track Pants
49		images/brands/underarmour/women/wordmark_strappy_sports_bra/01.png;images/brands/underarmour/women/wordmark_strappy_sports_bra/02.png;images/brands/underarmour/women/wordmark_strappy_sports_bra/03.png;images/brands/underarmour/women/wordmark_strappy_sports_bra/04.png;images/brands/underarmour/women/wordmark_strappy_sports_bra/05.png	images/brands/underarmour/women/wordmark_strappy_sports_bra/03.png	Wordmark: Strappy Sports Bra
50		images/brands/wilson/men/active_set/parkside_crew/01.png;images/brands/wilson/men/active_set/parkside_crew/02.png;images/brands/wilson/men/active_set/parkside_crew/03.png;images/brands/wilson/men/active_set/parkside_crew/04.png	images/brands/wilson/men/active_set/parkside_crew/03.png	Crewneck Sweatshirt
51		images/brands/wilson/men/active_set/tournament_shirt/01.png;images/brands/wilson/men/active_set/tournament_shirt/02.png;images/brands/wilson/men/active_set/tournament_shirt/03.png;images/brands/wilson/men/active_set/tournament_shirt/04.png;images/brands/wilson/men/active_set/tournament_shirt/05.png	images/brands/wilson/men/active_set/tournament_shirt/03.png	Tournament Shirt
52		images/brands/wilson/men/active_set/tournament_shorts/01.png;images/brands/wilson/men/active_set/tournament_shorts/02.png;images/brands/wilson/men/active_set/tournament_shorts/03.png;images/brands/wilson/men/active_set/tournament_shorts/04.png;images/brands/wilson/men/active_set/tournament_shorts/05.png	images/brands/wilson/men/active_set/tournament_shorts/03.png	Tournament Shorts
55	NULL	images/brands/adidas/kids/marvel-spider_man/tracksuit/01.png;images/brands/adidas/kids/marvel-spider_man/tracksuit/02.png;images/brands/adidas/kids/marvel-spider_man/tracksuit/03.png;images/brands/adidas/kids/marvel-spider_man/tracksuit/04.png	images/brands/adidas/kids/marvel-spider_man/tracksuit/03.png	Marvel Spider-Man: Tracksuit (3-Stripes)
56	NULL	images/brands/adidas/kids/marvel-spider_man/t-shirt/01.png;images/brands/adidas/kids/marvel-spider_man/t-shirt/02.png	images/brands/adidas/kids/marvel-spider_man/t-shirt/01.png	Marvel Spider-Man: T-Shirt
57	NULL	images/brands/adidas/kids/marvel-spider_man/trainers-light_up/01.png	images/brands/adidas/kids/marvel-spider_man/trainers-light_up/01.png	Marvel Spider-Man: Light-Up Trainers
58	NULL	images/brands/adidas/kids/marvel-spider_man/backpack/01.png;images/brands/adidas/kids/marvel-spider_man/backpack/02.png;images/brands/adidas/kids/marvel-spider_man/backpack/03.png;images/brands/adidas/kids/marvel-spider_man/backpack/04.png	images/brands/adidas/kids/marvel-spider_man/backpack/03.png	Marvel Spider-Man: Backpack
59	NULL	images/brands/adidas/men/campus_sneakers/01.png;images/brands/adidas/men/campus_sneakers/02.png;images/brands/adidas/men/campus_sneakers/03.png;images/brands/adidas/men/campus_sneakers/04.png;images/brands/adidas/men/campus_sneakers/05.png;images/brands/adidas/men/campus_sneakers/06.png	images/brands/adidas/men/campus_sneakers/03.png	Originals: Campus 00s
