row_number,db_itemId,model_id,itemName,row_group,field,finding_category,readiness_category,issue_type,blank_or_issue_count,remediation_owner,remediation_pathway,suggested_action,governance_note,frontend_ready,import_ready,admin_visible_ok
43,,ryderwear_female_nkd_shorts_v_scrunch,"NKD Scrunch V Shorts",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
43,,ryderwear_female_nkd_shorts_v_scrunch,"NKD Scrunch V Shorts",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
43,,ryderwear_female_nkd_shorts_v_scrunch,"NKD Scrunch V Shorts",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
43,,ryderwear_female_nkd_shorts_v_scrunch,"NKD Scrunch V Shorts",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
43,,ryderwear_female_nkd_shorts_v_scrunch,"NKD Scrunch V Shorts",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
44,,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,"NKD Scrunch V Halter Bra",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
44,,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,"NKD Scrunch V Halter Bra",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
44,,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,"NKD Scrunch V Halter Bra",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
44,,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,"NKD Scrunch V Halter Bra",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
44,,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,"NKD Scrunch V Halter Bra",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
44,,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,"NKD Scrunch V Halter Bra",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
44,,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,"NKD Scrunch V Halter Bra",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
45,,ryderwear_female_nkd_tank_top_scrunch,"NKD Scrunch Halter Tank Top",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
45,,ryderwear_female_nkd_tank_top_scrunch,"NKD Scrunch Halter Tank Top",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
45,,ryderwear_female_nkd_tank_top_scrunch,"NKD Scrunch Halter Tank Top",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
45,,ryderwear_female_nkd_tank_top_scrunch,"NKD Scrunch Halter Tank Top",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
45,,ryderwear_female_nkd_tank_top_scrunch,"NKD Scrunch Halter Tank Top",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
45,,ryderwear_female_nkd_tank_top_scrunch,"NKD Scrunch Halter Tank Top",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
45,,ryderwear_female_nkd_tank_top_scrunch,"NKD Scrunch Halter Tank Top",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
46,,ryderwear_female_nkd_bodysuit_v_scrunch,"NKD Scrunch Bodysuit",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
46,,ryderwear_female_nkd_bodysuit_v_scrunch,"NKD Scrunch Bodysuit",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
46,,ryderwear_female_nkd_bodysuit_v_scrunch,"NKD Scrunch Bodysuit",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
46,,ryderwear_female_nkd_bodysuit_v_scrunch,"NKD Scrunch Bodysuit",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
