row_number,db_itemId,model_id,itemName,row_group,field,finding_category,readiness_category,issue_type,blank_or_issue_count,remediation_owner,remediation_pathway,suggested_action,governance_note,frontend_ready,import_ready,admin_visible_ok
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
39,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,"NKD Scrunch V High-Waisted Leggings",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
39,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,"NKD Scrunch V High-Waisted Leggings",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
39,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,"NKD Scrunch V High-Waisted Leggings",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
39,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,"NKD Scrunch V High-Waisted Leggings",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
39,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,"NKD Scrunch V High-Waisted Leggings",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
39,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,"NKD Scrunch V High-Waisted Leggings",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
39,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,"NKD Scrunch V High-Waisted Leggings",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
40,,ryderwear_female_nkd_leggings_v_full_length_scrunch,"NKD Scrunch V Leggings",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
40,,ryderwear_female_nkd_leggings_v_full_length_scrunch,"NKD Scrunch V Leggings",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
40,,ryderwear_female_nkd_leggings_v_full_length_scrunch,"NKD Scrunch V Leggings",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
40,,ryderwear_female_nkd_leggings_v_full_length_scrunch,"NKD Scrunch V Leggings",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
40,,ryderwear_female_nkd_leggings_v_full_length_scrunch,"NKD Scrunch V Leggings",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
40,,ryderwear_female_nkd_leggings_v_full_length_scrunch,"NKD Scrunch V Leggings",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
40,,ryderwear_female_nkd_leggings_v_full_length_scrunch,"NKD Scrunch V Leggings",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
41,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,"NKD Scrunch V Pocket Leggings",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
41,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,"NKD Scrunch V Pocket Leggings",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
41,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,"NKD Scrunch V Pocket Leggings",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
41,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,"NKD Scrunch V Pocket Leggings",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
41,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,"NKD Scrunch V Pocket Leggings",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
41,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,"NKD Scrunch V Pocket Leggings",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
41,,ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,"NKD Scrunch V Pocket Leggings",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
42,,ryderwear_female_nkd_shorts_v_pocket_scrunch,"NKD Scrunch V Pocket Shorts",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
42,,ryderwear_female_nkd_shorts_v_pocket_scrunch,"NKD Scrunch V Pocket Shorts",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
42,,ryderwear_female_nkd_shorts_v_pocket_scrunch,"NKD Scrunch V Pocket Shorts",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
42,,ryderwear_female_nkd_shorts_v_pocket_scrunch,"NKD Scrunch V Pocket Shorts",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
42,,ryderwear_female_nkd_shorts_v_pocket_scrunch,"NKD Scrunch V Pocket Shorts",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
42,,ryderwear_female_nkd_shorts_v_pocket_scrunch,"NKD Scrunch V Pocket Shorts",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
42,,ryderwear_female_nkd_shorts_v_pocket_scrunch,"NKD Scrunch V Pocket Shorts",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
43,,ryderwear_female_nkd_shorts_v_scrunch,"NKD Scrunch V Shorts",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
43,,ryderwear_female_nkd_shorts_v_scrunch,"NKD Scrunch V Shorts",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
