model_id,db_itemId,itemName,collection,subCategory,batch_classification,operational_batch1_row,current_productdb_images_path,current_path_contract24_alignment,current_path_alignment_notes,readiness_status,readiness_flags,candidate_confidence,prior_candidate_paths,prior_candidate_paths_noncanonical_risk,audit_recommended_action,requires_later_reviewed_migration_plan,migration_planning_notes,grandfather_recommended,source_or_canonical_folder_creation_later
ryderwear_female_nkd_tank_top_scrunch,90,NKD Scrunch Halter Tank Top,NKD,Tank_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_nkd_bodysuit_v_scrunch,89,NKD Scrunch Bodysuit,NKD,Bodysuit,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_nkd_long_sleeve_half_zip,86,NKD Half Zip Long Sleeve Top,NKD,Long_Sleeve,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_nkd_tank_top_square_neck,97,NKD Square Neck Top,NKD,Tank_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,100,NKD Underwire Keyhole Bodysuit,NKD,Bodysuit,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,58,Contour Track Pants,Contour,Track_Pants,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-rib-seamless-shorts-waistband-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-rib-seamless-leggings-waistband-scrunch/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_ultra_tank_top_mesh,118,Ultra Mesh Tank,Ultra,Tank_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_ultra_tank_top_scoop,120,Ultra Scoop Tank,Ultra,Tank_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-scoop-neck-racerback-wide-strap-back-cutout-medium-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_slouchy_off_shoulder_top,112,Slouchy Off Shoulder Top,NULL,Slouchy_Off_Shoulder_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
