"relative_folder","semantic_display_path","semantic_axis_values","product_signal_terms","likely_colour_folder","parent_folder","top_namespace","second_namespace","third_namespace","folder_depth","direct_image_count","image_files","full_folder_path"
"Men/T-Back/Arnie/Coral","Men | T-Back | Arnie | Coral","","Men | T-Back | Arnie | Coral","Coral","Arnie","Men","T-Back","Arnie","4","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Men\T-Back\Arnie\Coral"
"Men/T-Back/Energy_Mesh/Black","Men | T-Back | Energy_Mesh | Black","","Men | T-Back | Energy_Mesh | Black","Black","Energy_Mesh","Men","T-Back","Energy_Mesh","4","5","01.png | 02.png | 03.png | 04.png | 05.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Men\T-Back\Energy_Mesh\Black"
"Plus-Size/Women/Lounge_Jersey_Flare_Pants/Black","Plus-Size | Women | Lounge_Jersey_Flare_Pants | Black","","Plus-Size | Women | Lounge_Jersey_Flare_Pants | Black","Black","Lounge_Jersey_Flare_Pants","Plus-Size","Women","Lounge_Jersey_Flare_Pants","4","3","01.webp | 02.webp | 03.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Plus-Size\Women\Lounge_Jersey_Flare_Pants\Black"
"Plus-Size/Women/Lounge_Jersey_Flare_Pants/Grey_Marl","Plus-Size | Women | Lounge_Jersey_Flare_Pants | Grey_Marl","","Plus-Size | Women | Lounge_Jersey_Flare_Pants | Grey_Marl","Grey_Marl","Lounge_Jersey_Flare_Pants","Plus-Size","Women","Lounge_Jersey_Flare_Pants","4","3","01.webp | 02.webp | 03.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Plus-Size\Women\Lounge_Jersey_Flare_Pants\Grey_Marl"
"Plus-Size/Women/NKD/High-Waisted_Scrunch_Shorts/Mocha","Plus-Size | Women | NKD | High-Waisted_Scrunch_Shorts | Mocha","","Plus-Size | Women | NKD | High-Waisted_Scrunch_Shorts | Mocha","Mocha","High-Waisted_Scrunch_Shorts","Plus-Size","Women","NKD","5","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Plus-Size\Women\NKD\High-Waisted_Scrunch_Shorts\Mocha"
"Plus-Size/Women/NKD/High-Waisted_Scrunch_Shorts/Neon_Salmon","Plus-Size | Women | NKD | High-Waisted_Scrunch_Shorts | Neon_Salmon","","Plus-Size | Women | NKD | High-Waisted_Scrunch_Shorts | Neon_Salmon","Neon_Salmon","High-Waisted_Scrunch_Shorts","Plus-Size","Women","NKD","5","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Plus-Size\Women\NKD\High-Waisted_Scrunch_Shorts\Neon_Salmon"
"Unisex/Accessories/Baseball_Cap/Almond","Unisex | Accessories | Baseball_Cap | Almond","","Unisex | Accessories | Baseball_Cap | Almond","Almond","Baseball_Cap","Unisex","Accessories","Baseball_Cap","4","2","01.webp | 03.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Unisex\Accessories\Baseball_Cap\Almond"
"Unisex/Accessories/Stonewash_Cap/Charcoal","Unisex | Accessories | Stonewash_Cap | Charcoal","","Unisex | Accessories | Stonewash_Cap | Charcoal","Charcoal","Stonewash_Cap","Unisex","Accessories","Stonewash_Cap","4","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Unisex\Accessories\Stonewash_Cap\Charcoal"
"Unisex/Track_Pants","Unisex | Track_Pants","","Unisex | Track_Pants","Track_Pants","Unisex","Unisex","Track_Pants","","2","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Unisex\Track_Pants"
"Women/Accessories/Pilates_Gym_Bag/Vanilla","Women | Accessories | Pilates_Gym_Bag | Vanilla","","Women | Accessories | Pilates_Gym_Bag | Vanilla","Vanilla","Pilates_Gym_Bag","Women","Accessories","Pilates_Gym_Bag","4","8","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp | 08.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Accessories\Pilates_Gym_Bag\Vanilla"
"Women/Bundles","Women | Bundles","","Women | Bundles","Bundles","Women","Women","Bundles","","2","6","A.png | B.png | Banner-Valentine.png | C.png | D.png | E.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Bundles"
"Women/NKD/Bodysuit/Construction/Jumpsuit/Fabric/Ultra_Soft/Black","Women | NKD | Bodysuit | Construction=Jumpsuit | Fabric=Ultra_Soft > Black","Construction=Jumpsuit | Fabric=Ultra_Soft > Black","Women | NKD | Bodysuit","Black","Ultra_Soft","Women","NKD","Bodysuit","8","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\Jumpsuit\Fabric\Ultra_Soft\Black"
"Women/NKD/Bodysuit/Construction/Underwire/Keyhole/Sports_Bra/Vanilla","Women | NKD | Bodysuit | Construction=Underwire > Keyhole > Sports_Bra > Vanilla","Construction=Underwire > Keyhole > Sports_Bra > Vanilla","Women | NKD | Bodysuit","Vanilla","Sports_Bra","Women","NKD","Bodysuit","8","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\Underwire\Keyhole\Sports_Bra\Vanilla"
"Women/NKD/Bodysuit/Construction/V/Black","Women | NKD | Bodysuit | Construction=V > Black","Construction=V > Black","Women | NKD | Bodysuit","Black","V","Women","NKD","Bodysuit","6","12","01.jpg | 01.png | 02.jpg | 02.png | 03.png | 03.webp | 04.png | 04.webp | 05.png | 05.webp | 06.png | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Black"
"Women/NKD/Bodysuit/Construction/V/Blush","Women | NKD | Bodysuit | Construction=V > Blush","Construction=V > Blush","Women | NKD | Bodysuit","Blush","V","Women","NKD","Bodysuit","6","7","01.png | 02.png | 03.png | 04.png | 05.png | 06.png | 07.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Blush"
"Women/NKD/Bodysuit/Construction/V/Cobalt","Women | NKD | Bodysuit | Construction=V > Cobalt","Construction=V > Cobalt","Women | NKD | Bodysuit","Cobalt","V","Women","NKD","Bodysuit","6","6","01.jpg | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Cobalt"
"Women/NKD/Bodysuit/Construction/V/Dragonfruit","Women | NKD | Bodysuit | Construction=V > Dragonfruit","Construction=V > Dragonfruit","Women | NKD | Bodysuit","Dragonfruit","V","Women","NKD","Bodysuit","6","7","01.jpg | 02.jpg | 03.jpg | 04.webp | 05.jpg | 06.jpg | 07.jpg","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Dragonfruit"
"Women/NKD/Bodysuit/Construction/V/Espresso","Women | NKD | Bodysuit | Construction=V > Espresso","Construction=V > Espresso","Women | NKD | Bodysuit","Espresso","V","Women","NKD","Bodysuit","6","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Espresso"
"Women/NKD/Bodysuit/Construction/V/Marl/Blush","Women | NKD | Bodysuit | Construction=V > Marl > Blush","Construction=V > Marl > Blush","Women | NKD | Bodysuit","Blush","Marl","Women","NKD","Bodysuit","7","8","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp | 08.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Marl\Blush"
"Women/NKD/Bodysuit/Construction/V/Marl/Snow_Grey","Women | NKD | Bodysuit | Construction=V > Marl > Snow_Grey","Construction=V > Marl > Snow_Grey","Women | NKD | Bodysuit","Snow_Grey","Marl","Women","NKD","Bodysuit","7","6","01.webp | 02.jpg | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Marl\Snow_Grey"
"Women/NKD/Bodysuit/Construction/V/Mauve","Women | NKD | Bodysuit | Construction=V > Mauve","Construction=V > Mauve","Women | NKD | Bodysuit","Mauve","V","Women","NKD","Bodysuit","6","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Mauve"
"Women/NKD/Bodysuit/Construction/V/Navy","Women | NKD | Bodysuit | Construction=V > Navy","Construction=V > Navy","Women | NKD | Bodysuit","Navy","V","Women","NKD","Bodysuit","6","6","01.webp | 02.webp | 03.webp | 04.webp | 05.jpg | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Navy"
"Women/NKD/Bodysuit/Construction/V/Off_White","Women | NKD | Bodysuit | Construction=V > Off_White","Construction=V > Off_White","Women | NKD | Bodysuit","Off_White","V","Women","NKD","Bodysuit","6","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Off_White"
"Women/NKD/Bodysuit/Construction/V/Vanilla","Women | NKD | Bodysuit | Construction=V > Vanilla","Construction=V > Vanilla","Women | NKD | Bodysuit","Vanilla","V","Women","NKD","Bodysuit","6","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Vanilla"
"Women/NKD/Bodysuit/Construction/V/Watermelon_Sugar","Women | NKD | Bodysuit | Construction=V > Watermelon_Sugar","Construction=V > Watermelon_Sugar","Women | NKD | Bodysuit","Watermelon_Sugar","V","Women","NKD","Bodysuit","6","8","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp | 08.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bodysuit\Construction\V\Watermelon_Sugar"
"Women/NKD/Bottoms/Leggings/Construction/Flared/Cross_Waist","Women | NKD | Bottoms | Leggings | Construction=Flared > Cross_Waist","Construction=Flared > Cross_Waist","Women | NKD | Bottoms | Leggings","Cross_Waist","Flared","Women","NKD","Bottoms","7","5","01.png | 02.png | 03.png | 04.png | 05.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\Flared\Cross_Waist"
"Women/NKD/Bottoms/Leggings/Construction/Pocket/V/Pink_Sugar","Women | NKD | Bottoms | Leggings | Construction=Pocket > V > Pink_Sugar","Construction=Pocket > V > Pink_Sugar","Women | NKD | Bottoms | Leggings","Pink_Sugar","V","Women","NKD","Bottoms","8","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\Pocket\V\Pink_Sugar"
"Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Banner/Stonewash","Women | NKD | Bottoms | Leggings | Construction=V > Scrunch > Banner > Stonewash","Construction=V > Scrunch > Banner > Stonewash","Women | NKD | Bottoms | Leggings","Stonewash","Banner","Women","NKD","Bottoms","9","1","01-2023_Collection-Page_Banner-Desktop_2680x.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\V\Scrunch\Banner\Stonewash"
"Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Fabric/Ultra_Soft/Black","Women | NKD | Bottoms | Leggings | Construction=V > Scrunch | Fabric=Ultra_Soft > Black","Construction=V > Scrunch | Fabric=Ultra_Soft > Black","Women | NKD | Bottoms | Leggings","Black","Ultra_Soft","Women","NKD","Bottoms","10","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\V\Scrunch\Fabric\Ultra_Soft\Black"
"Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Fabric/Ultra_Soft/Candy_Pink","Women | NKD | Bottoms | Leggings | Construction=V > Scrunch | Fabric=Ultra_Soft > Candy_Pink","Construction=V > Scrunch | Fabric=Ultra_Soft > Candy_Pink","Women | NKD | Bottoms | Leggings","Candy_Pink","Ultra_Soft","Women","NKD","Bottoms","10","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\V\Scrunch\Fabric\Ultra_Soft\Candy_Pink"
"Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Fabric/Ultra_Soft/Charcoal","Women | NKD | Bottoms | Leggings | Construction=V > Scrunch | Fabric=Ultra_Soft > Charcoal","Construction=V > Scrunch | Fabric=Ultra_Soft > Charcoal","Women | NKD | Bottoms | Leggings","Charcoal","Ultra_Soft","Women","NKD","Bottoms","10","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\V\Scrunch\Fabric\Ultra_Soft\Charcoal"
"Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Fabric/Ultra_Soft/Cherry_Red","Women | NKD | Bottoms | Leggings | Construction=V > Scrunch | Fabric=Ultra_Soft > Cherry_Red","Construction=V > Scrunch | Fabric=Ultra_Soft > Cherry_Red","Women | NKD | Bottoms | Leggings","Cherry_Red","Ultra_Soft","Women","NKD","Bottoms","10","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\V\Scrunch\Fabric\Ultra_Soft\Cherry_Red"
"Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Fabric/Ultra_Soft/Cool_Mint","Women | NKD | Bottoms | Leggings | Construction=V > Scrunch | Fabric=Ultra_Soft > Cool_Mint","Construction=V > Scrunch | Fabric=Ultra_Soft > Cool_Mint","Women | NKD | Bottoms | Leggings","Cool_Mint","Ultra_Soft","Women","NKD","Bottoms","10","1","01.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\V\Scrunch\Fabric\Ultra_Soft\Cool_Mint"
"Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Fabric/Ultra_Soft/Marl/Blush","Women | NKD | Bottoms | Leggings | Construction=V > Scrunch | Fabric=Ultra_Soft > Marl > Blush","Construction=V > Scrunch | Fabric=Ultra_Soft > Marl > Blush","Women | NKD | Bottoms | Leggings","Blush","Marl","Women","NKD","Bottoms","11","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\V\Scrunch\Fabric\Ultra_Soft\Marl\Blush"
"Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Fabric/Ultra_Soft/Marl/Coral","Women | NKD | Bottoms | Leggings | Construction=V > Scrunch | Fabric=Ultra_Soft > Marl > Coral","Construction=V > Scrunch | Fabric=Ultra_Soft > Marl > Coral","Women | NKD | Bottoms | Leggings","Coral","Marl","Women","NKD","Bottoms","11","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\V\Scrunch\Fabric\Ultra_Soft\Marl\Coral"
"Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Fabric/Ultra_Soft/Marl/Grey","Women | NKD | Bottoms | Leggings | Construction=V > Scrunch | Fabric=Ultra_Soft > Marl > Grey","Construction=V > Scrunch | Fabric=Ultra_Soft > Marl > Grey","Women | NKD | Bottoms | Leggings","Grey","Marl","Women","NKD","Bottoms","11","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\V\Scrunch\Fabric\Ultra_Soft\Marl\Grey"
"Women/NKD/Bottoms/Leggings/Construction/Wide/Black","Women | NKD | Bottoms | Leggings | Construction=Wide > Black","Construction=Wide > Black","Women | NKD | Bottoms | Leggings","Black","Wide","Women","NKD","Bottoms","7","4","01.webp | 02.webp | 03.webp | 04.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Construction\Wide\Black"
"Women/NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Black","Women | NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Black","Rise=High_Waisted > Scrunch > Black","Women | NKD | Bottoms | Leggings","Black","Scrunch","Women","NKD","Bottoms","8","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Black"
"Women/NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Desert_Sage","Women | NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Desert_Sage","Rise=High_Waisted > Scrunch > Desert_Sage","Women | NKD | Bottoms | Leggings","Desert_Sage","Scrunch","Women","NKD","Bottoms","8","1","01.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Desert_Sage"
"Women/NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Dusty_Pink","Women | NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Dusty_Pink","Rise=High_Waisted > Scrunch > Dusty_Pink","Women | NKD | Bottoms | Leggings","Dusty_Pink","Scrunch","Women","NKD","Bottoms","8","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Dusty_Pink"
"Women/NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Fuchsia","Women | NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Fuchsia","Rise=High_Waisted > Scrunch > Fuchsia","Women | NKD | Bottoms | Leggings","Fuchsia","Scrunch","Women","NKD","Bottoms","8","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Fuchsia"
"Women/NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Neon_Salmon","Women | NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Neon_Salmon","Rise=High_Waisted > Scrunch > Neon_Salmon","Women | NKD | Bottoms | Leggings","Neon_Salmon","Scrunch","Women","NKD","Bottoms","8","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Neon_Salmon"
"Women/NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Plum","Women | NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Plum","Rise=High_Waisted > Scrunch > Plum","Women | NKD | Bottoms | Leggings","Plum","Scrunch","Women","NKD","Bottoms","8","7","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Plum"
"Women/NKD/Bottoms/Shorts/Construction/Pocket/V/Fabric/Ultra_Soft/Cool_Mint","Women | NKD | Bottoms | Shorts | Construction=Pocket > V | Fabric=Ultra_Soft > Cool_Mint","Construction=Pocket > V | Fabric=Ultra_Soft > Cool_Mint","Women | NKD | Bottoms | Shorts","Cool_Mint","Ultra_Soft","Women","NKD","Bottoms","10","4","01.png | 02.png | 03.png | 04.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Shorts\Construction\Pocket\V\Fabric\Ultra_Soft\Cool_Mint"
"Women/NKD/Bottoms/Shorts/Construction/Pocket/V/Fabric/Ultra_Soft/Marl/Coral","Women | NKD | Bottoms | Shorts | Construction=Pocket > V | Fabric=Ultra_Soft > Marl > Coral","Construction=Pocket > V | Fabric=Ultra_Soft > Marl > Coral","Women | NKD | Bottoms | Shorts","Coral","Marl","Women","NKD","Bottoms","11","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Shorts\Construction\Pocket\V\Fabric\Ultra_Soft\Marl\Coral"
"Women/NKD/Bottoms/Shorts/Construction/Pocket/V/Scrunch/Black","Women | NKD | Bottoms | Shorts | Construction=Pocket > V > Scrunch > Black","Construction=Pocket > V > Scrunch > Black","Women | NKD | Bottoms | Shorts","Black","Scrunch","Women","NKD","Bottoms","9","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Shorts\Construction\Pocket\V\Scrunch\Black"
"Women/NKD/Bottoms/Shorts/Construction/Pocket/V/Scrunch/Dreamy_Blue","Women | NKD | Bottoms | Shorts | Construction=Pocket > V > Scrunch > Dreamy_Blue","Construction=Pocket > V > Scrunch > Dreamy_Blue","Women | NKD | Bottoms | Shorts","Dreamy_Blue","Scrunch","Women","NKD","Bottoms","9","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Shorts\Construction\Pocket\V\Scrunch\Dreamy_Blue"
"Women/NKD/Bottoms/Shorts/Construction/Pocket/V/Scrunch/Green_Glow","Women | NKD | Bottoms | Shorts | Construction=Pocket > V > Scrunch > Green_Glow","Construction=Pocket > V > Scrunch > Green_Glow","Women | NKD | Bottoms | Shorts","Green_Glow","Scrunch","Women","NKD","Bottoms","9","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Shorts\Construction\Pocket\V\Scrunch\Green_Glow"
"Women/NKD/Bottoms/Shorts/Construction/Pocket/V/Scrunch/Pink_Sugar","Women | NKD | Bottoms | Shorts | Construction=Pocket > V > Scrunch > Pink_Sugar","Construction=Pocket > V > Scrunch > Pink_Sugar","Women | NKD | Bottoms | Shorts","Pink_Sugar","Scrunch","Women","NKD","Bottoms","9","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Bottoms\Shorts\Construction\Pocket\V\Scrunch\Pink_Sugar"
"Women/NKD/Tops/Long_Sleeve/Half_Zip/Black","Women | NKD | Tops | Long_Sleeve | Half_Zip | Black","","Women | NKD | Tops | Long_Sleeve | Half_Zip | Black","Black","Half_Zip","Women","NKD","Tops","6","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Tops\Long_Sleeve\Half_Zip\Black"
"Women/NKD/Tops/Long_Sleeve/Half_Zip/White","Women | NKD | Tops | Long_Sleeve | Half_Zip | White","","Women | NKD | Tops | Long_Sleeve | Half_Zip | White","White","Half_Zip","Women","NKD","Tops","6","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Tops\Long_Sleeve\Half_Zip\White"
"Women/NKD/Tops/Sports_Bra/Cut/Bandeau/Fabric/Ultra_Soft/Marl/Grey","Women | NKD | Tops | Sports_Bra | Cut=Bandeau | Fabric=Ultra_Soft > Marl > Grey","Cut=Bandeau | Fabric=Ultra_Soft > Marl > Grey","Women | NKD | Tops | Sports_Bra","Grey","Marl","Women","NKD","Tops","10","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Tops\Sports_Bra\Cut\Bandeau\Fabric\Ultra_Soft\Marl\Grey"
"Women/NKD/Tops/Sports_Bra/Cut/Bandeau/Fabric/Ultra_Soft/Pink_Musk","Women | NKD | Tops | Sports_Bra | Cut=Bandeau | Fabric=Ultra_Soft > Pink_Musk","Cut=Bandeau | Fabric=Ultra_Soft > Pink_Musk","Women | NKD | Tops | Sports_Bra","Pink_Musk","Ultra_Soft","Women","NKD","Tops","9","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Tops\Sports_Bra\Cut\Bandeau\Fabric\Ultra_Soft\Pink_Musk"
