"RelPath","Size","Hash"
".venv/Lib/site-packages/matplotlib/backends/web_backend/css/mpl.css","1611","AEE71AFDA03990D9CFF8C6662E4AE2BBCB5E54FD67220C1C144A68075EA3F19E"
".venv/Lib/site-packages/matplotlib/backends/web_backend/css/page.css","1623","71ADE73B74DA3F0EFCEB93CDE529462414DCD87DEB05740231A14FCB05F6F72E"
".venv/Lib/site-packages/matplotlib/backends/web_backend/js/mpl.js","24432","14015FF21B849AFCA625B4C7154439A5B42DE3C36D5E637F0CD0023F67420CCC"
".venv/Lib/site-packages/matplotlib/backends/web_backend/js/mpl_tornado.js","302","66CD94CECED8522946EFAE6762F6A70A8F882BC1E41C3B48BA6D4A02AE9B43FC"
".venv/Lib/site-packages/matplotlib/backends/web_backend/js/nbagg_mpl.js","9514","17E072E198CE4A6C29340931514C54937E6A0A31A57F4076F19D1A3B27E9C433"
".venv/Lib/site-packages/matplotlib/mpl-data/fonts/pdfcorefonts/readme.txt","828","311BFCA694884D86006FB96DE443B0F4359635921B95FC6C161BB94D013B7292"
".venv/Lib/site-packages/matplotlib/mpl-data/plot_directive/plot_directive.css","318","BAD489D68113CF4506E800BD854D77E09FC963BF043628EA3195CDD0930151F9"
".venv/Lib/site-packages/matplotlib/mpl-data/sample_data/data_x_x2_x3.csv","132","034494DDBB8E506853F8D23FE8B43AA7BD1F152214DE22C5760CEFCEB291E921"
".venv/Lib/site-packages/matplotlib/mpl-data/sample_data/msft.csv","3211","180ACA6F43B70E029946C29D25FEA55F7ACC49FF8F09E908881A0B35D805ECC9"
".venv/Lib/site-packages/matplotlib/mpl-data/sample_data/README.txt","128","001CF5F5504A7C67B0758DFD4089C6F5071C827D4C4D85776D3E4F87B4C2CB66"
".venv/Lib/site-packages/matplotlib/mpl-data/sample_data/Stocks.csv","67924","EF6F3BF1A64D5C6C5DE702EF154C3FAE78FE9DF83882AB6BB9C6638BEC3CDF47"
".venv/Lib/site-packages/mediapipe/modules/hand_landmark/handedness.txt","11","3B82F0246870FEC456C8632D455A4E1D5648D2836A7A513A271781144F525916"
".venv/Lib/site-packages/mediapipe/modules/objectron/object_detection_oidv4_labelmap.txt","184","C148336A65F673013609A923FDCBDEEC0F49DF935045029C3746A3828A0E80E0"
".venv/Lib/site-packages/mediapipe-0.10.14.dist-info/top_level.txt","175","B7D65CA6A9D03FFE909A9028BC07D81D1C2AFBD5B25BA3BA47342289AE6D91B0"
".venv/Lib/site-packages/ml_dtypes-0.5.3.dist-info/top_level.txt","10","99E79E3643352CB993539ABFD2CB05B36D40FF8D95028112DB89ED0AB3EA012C"
".venv/Lib/site-packages/numpy/ma/API_CHANGES.txt","3540","537F7303CEDA33F38826110ABC780BD5163596130965CD588F70C62F06CF6C5D"
